Name,Opponent,PlayerID,Team,Week,att,def_rk,fum,h/a_1,points,rec,rec_td,rec_yds,ru_att,ru_td,ru_yds,ru_yds/att,salary,surface_0,tar,td,yds,yds/att,year
Bobby Rainey,NO,13852,TB,2,,29,0,0.0,1.8,1,,,0.0,0.0,0.0,0.0,3000,0.0,1,0,8,,2015
Ronnie Hillman,KC,14046,DEN,2,,3,0,0.0,3.4,0,,,9.0,0.0,34.0,3.8,3000,1.0,1,0,0,,2015
Alfred Morris,LAR,14269,WAS,2,,23,0,1.0,9.2,2,,,18.0,0.0,59.0,3.3,5900,1.0,2,0,13,,2015
Travaris Cadet,BUF,14352,NE,2,,10,0,0.0,1.2,1,,,0.0,0.0,0.0,0.0,3000,0.0,1,0,2,,2015
Doug Martin,NO,14385,TB,2,,29,1,0.0,10.8,2,,,21.0,0.0,78.0,3.7,3000,0.0,2,0,20,,2015
Isaiah Pead,WAS,14421,LAR,2,,20,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Jorvorskie Lane,NO,14538,TB,2,,29,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,2500,0.0,0,0,0,,2015
Will Johnson,SF,14620,PIT,2,,32,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Bernard Pierce,MIA,14687,JAX,2,,31,0,1.0,0.4,0,,,3.0,0.0,4.0,1.3,3000,1.0,0,0,0,,2015
Jonathan Grimes,CAR,14719,HOU,2,,19,0,0.0,10.7,6,,,2.0,0.0,7.0,3.5,3000,1.0,7,0,40,,2015
Lance Dunbar,PHI,14731,DAL,2,,28,0,0.0,8.3,3,,,1.0,0.0,8.0,8.0,5500,1.0,5,0,45,,2015
